-----------------------------------------------																							
ace.map QC reference file generated Fri Apr 13 18:06:21 CEST 2007																							
ace.map QC version: 1.0																							
http://www.iri.cnrs.fr/seg																							
-----------------------------------------------																							

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope
051204050722bell.txt - Jan_30._2005_3:44:05_PM	892.7404	0.4163	0.3354	0.3916	0.0000	0.5837	3.8357	2.2192	0.6000	53.9500	-0.7458	-2.9852	0.3350	0.2378	1.5054	-2.9967	3.5648	-0.0325	-1.0679	0.2385	-0.1296	2.4995	-1.9842
051204050722bell.txt - Jan_30._2005_3:59:55_PM	897.7265	0.4415	0.3349	0.4551	0.0000	0.5585	4.6979	2.2229	0.6300	53.5400	-0.6019	-2.3207	0.3350	0.1986	1.5099	-2.7529	3.3246	-0.1822	-1.1804	0.0555	0.1030	1.6809	-1.4143
051204050722bell.txt - Jan_30._2005_4:15:36_PM	923.6075	0.4811	0.4259	0.4303	0.0000	0.5189	5.1058	2.1496	0.7800	73.1200	-0.3391	-3.7966	0.3350	0.2388	1.4679	-3.0983	3.2533	0.4741	-1.2052	0.0134	0.1314	1.8827	-2.7078
051204050722bell.txt - HA008KJ_4/27/05_1:34_PM	1031.9051	0.4280	0.3429	0.4314	0.0000	0.5720	4.4575	2.2508	0.6000	69.5600	-0.4180	-1.3956	0.3350	0.3876	1.4941	-2.9833	3.9188	-0.2117	-1.0213	0.0349	0.1338	2.0307	-1.9329
051204050722bell.txt - HA002JYbtri_4/27/05_2:24_PM	1020.6973	0.4707	0.4119	0.4542	0.0000	0.5293	4.4791	2.2175	0.7500	59.6700	-0.5843	-1.8736	0.3350	0.2135	1.5896	-2.9075	3.5499	0.0398	-1.1315	0.0098	0.1730	1.7180	-1.1794
051204050722bell.txt - HA008KU_4/27/05_2:39_PM	1029.1052	0.3458	0.4083	0.5781	0.0000	0.6542	3.1604	2.2998	0.1800	50.3000	-0.5081	-1.5411	0.3350	0.2185	1.5237	-3.1011	3.7826	-0.0404	-1.0298	0.0137	0.1986	2.2871	-1.3662
051204050722bell.txt - HA008KT_4/27/05_3:10_PM	922.5398	0.4860	0.4544	0.4190	0.0000	0.5140	4.7795	2.1553	0.8100	68.9200	-0.3574	-2.0576	0.3350	0.4636	1.4407	-3.1320	3.6841	0.3417	-1.1319	0.0259	0.1265	2.3615	-2.1879
051204050722bell.txt - HA008KY_4/27/05_3:43_PM	1141.3628	0.4216	0.3450	0.4019	0.0000	0.5784	4.4145	2.3021	0.6000	63.5000	-0.5235	-1.5270	0.3350	0.2667	1.5593	-3.0862	4.2032	-0.2437	-0.9578	0.0169	0.1195	2.1809	-2.2892
051204050722bell.txt - HA008KD_4/27/05_4:00_PM	935.2265	0.4162	0.5471	0.5460	0.0000	0.5838	3.8431	2.3291	0.2100	73.6400	0.0819	-2.4193	0.3350	0.2838	1.4329	-3.0033	2.9683	0.6564	-1.1908	0.0416	0.1540	2.3280	-2.3924
051204050722bell.txt - HA008KB_4/27/05_4:17_PM	1000.4546	0.3324	0.4168	0.6078	0.0000	0.6676	2.8119	2.3653	0.1800	49.9800	-0.4432	-2.6443	0.3350	0.0603	1.5279	-3.1032	3.1064	0.3589	-1.2053	0.0132	0.1635	1.9404	-2.0529
051204050722bell.txt - HA002JZ_4/27/05_4:48_PM	941.7739	0.3890	0.5117	0.5386	0.0000	0.6110	3.3522	2.2880	0.2400	72.4000	-0.1533	-2.6567	0.3350	0.2406	1.4612	-2.8920	3.0239	0.4863	-1.2437	0.0577	0.1247	1.7546	-2.6598
051204050722bell.txt - HA00667_4/28/05_7:18_PM	753.7857	0.3989	0.2641	0.4667	0.0000	0.6011	4.0947	2.2125	0.4800	55.7400	-0.6453	-1.5140	0.3350	0.3661	1.4781	-3.3336	4.0163	-0.1921	-0.9782	0.0290	0.1562	2.4263	-2.3160
051204050722bell.txt - HA00668bis_4/28/05_8:01_PM	760.3120	0.3916	0.3318	0.3440	0.0000	0.6084	3.8051	2.2451	0.5100	52.9300	-0.5946	-1.8632	0.3350	0.2832	1.5214	-3.3336	4.2841	0.0201	-0.9683	0.0284	0.0961	2.3540	-1.8869
051204050722bell.txt - HA002BJ_4/28/05_8:16_PM	689.1350	0.4224	0.3378	0.3692	0.0000	0.5776	4.4685	2.2410	0.6000	65.0900	-0.5595	-1.7010	0.3350	0.2662	1.5583	-3.1528	4.0948	-0.1164	-0.9869	0.1182	-0.0134	-7.2793	2.2227
051204050722bell.txt - HA002BKbis_4/28/05_9:04_PM	982.5279	0.4092	0.3375	0.3679	0.0000	0.5908	4.3137	2.3046	0.5700	58.7200	-0.6713	-1.8710	0.3350	0.2470	1.5328	-3.0997	3.6873	0.0159	-1.1233	0.0146	0.1069	2.4051	-1.5136
051204050722bell_050129-1404.ma0	939.9429	0.4473	0.3835	0.4002	0.0000	0.5527	4.3317	2.2057	0.6900	66.0100	-0.6073	-2.3492	0.3350	0.2751	1.5829	-2.7384	3.6407	-0.1845	-1.1151	0.0063	0.1330	1.4366	-1.3151
051204050722bell_050129-1419.ma0	849.5237	0.4141	0.2738	0.4601	0.0000	0.5859	4.2971	2.2166	0.5400	43.4900	-0.7954	-1.8530	0.3350	0.1673	1.5456	-2.8213	3.6571	-0.5109	-1.0800	0.0289	0.1206	1.8406	-1.5849
051204050722bell_050129-1433.ma0	811.0826	0.3520	0.4454	0.5269	0.0000	0.6480	3.2171	2.2947	0.1800	66.6700	-0.2932	-3.3668	0.3350	0.2895	1.4412	-2.7902	2.7263	0.3535	-1.2834	0.1599	0.0151	1.4088	-7.0686
